epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.62157,1.07528,0.62903,1,0.9259,0.00038583,0.00038583,0.00038583
2,10.4467,0.80201,0.71774,1,0.74658,0.000776224,0.000776224,0.000776224
3,12.1714,0.58716,0.75806,1,0.69861,0.00115671,0.00115671,0.00115671
4,13.7689,0.43436,0.80645,1,0.5072,0.00137595,0.00137595,0.00137595
5,15.3972,0.35191,0.83065,1,0.47223,0.00135826,0.00135826,0.00135826
6,17.1049,0.39094,0.81452,1,0.67444,0.00134058,0.00134058,0.00134058
7,18.6312,0.33219,0.8629,1,0.5022,0.0013229,0.0013229,0.0013229
8,20.2615,0.26677,0.85484,1,0.50671,0.00130521,0.00130521,0.00130521
9,21.7734,0.25506,0.81452,1,0.59357,0.00128753,0.00128753,0.00128753
10,23.411,0.20563,0.8629,1,0.5011,0.00126985,0.00126985,0.00126985
11,24.9993,0.19862,0.83871,1,0.5401,0.00125216,0.00125216,0.00125216
12,26.6239,0.20885,0.84677,1,0.61865,0.00123448,0.00123448,0.00123448
13,28.2491,0.15855,0.83871,1,0.62817,0.00121679,0.00121679,0.00121679
14,29.8407,0.17723,0.79839,1,0.69019,0.00119911,0.00119911,0.00119911
15,31.4069,0.15344,0.81452,1,0.75647,0.00118143,0.00118143,0.00118143
16,32.9225,0.15509,0.84677,1,0.81097,0.00116374,0.00116374,0.00116374
17,34.5608,0.16887,0.81452,1,0.83087,0.00114606,0.00114606,0.00114606
18,36.1349,0.12208,0.82258,1,0.7764,0.00112837,0.00112837,0.00112837
19,37.6823,0.13005,0.79032,1,0.81903,0.00111069,0.00111069,0.00111069
20,39.2277,0.16008,0.80645,1,0.73364,0.00109301,0.00109301,0.00109301
21,40.7512,0.1244,0.80645,1,0.74432,0.00107532,0.00107532,0.00107532
22,42.405,0.1009,0.84677,1,0.65027,0.00105764,0.00105764,0.00105764
23,43.9813,0.13756,0.8629,1,0.63062,0.00103995,0.00103995,0.00103995
24,45.6344,0.1255,0.83065,1,0.75647,0.00102227,0.00102227,0.00102227
25,47.2309,0.10707,0.83871,1,0.63733,0.00100459,0.00100459,0.00100459
26,48.8531,0.10475,0.83871,1,0.64178,0.000986903,0.000986903,0.000986903
27,50.4659,0.11884,0.84677,1,0.74438,0.000969219,0.000969219,0.000969219
28,52.0569,0.07371,0.84677,1,0.74634,0.000951535,0.000951535,0.000951535
29,53.6835,0.08188,0.85484,1,0.72186,0.000933851,0.000933851,0.000933851
30,55.2697,0.0865,0.87097,1,0.67126,0.000916168,0.000916168,0.000916168
31,56.9013,0.08992,0.87903,1,0.69031,0.000898484,0.000898484,0.000898484
32,58.5986,0.10554,0.87903,1,0.60791,0.0008808,0.0008808,0.0008808
33,60.1936,0.07464,0.83065,1,0.77124,0.000863116,0.000863116,0.000863116
34,61.7656,0.09817,0.83871,1,0.72339,0.000845432,0.000845432,0.000845432
35,63.4048,0.09944,0.8629,1,0.68695,0.000827748,0.000827748,0.000827748
36,64.8994,0.09094,0.83065,1,0.64185,0.000810064,0.000810064,0.000810064
37,66.5129,0.08915,0.83871,1,0.65155,0.00079238,0.00079238,0.00079238
38,68.1402,0.05514,0.84677,1,0.60968,0.000774697,0.000774697,0.000774697
39,69.8064,0.07247,0.84677,1,0.62152,0.000757013,0.000757013,0.000757013
40,71.3158,0.08248,0.83065,1,0.69244,0.000739329,0.000739329,0.000739329
41,72.9583,0.08129,0.83871,1,0.73349,0.000721645,0.000721645,0.000721645
42,74.5408,0.07141,0.83871,1,0.72876,0.000703961,0.000703961,0.000703961
43,76.1291,0.05904,0.82258,1,0.65442,0.000686277,0.000686277,0.000686277
44,77.7414,0.06178,0.83871,1,0.65979,0.000668593,0.000668593,0.000668593
45,79.3362,0.06597,0.84677,1,0.63837,0.000650909,0.000650909,0.000650909
46,81.1386,0.05187,0.83871,1,0.57898,0.000633226,0.000633226,0.000633226
47,82.745,0.08647,0.85484,1,0.60947,0.000615542,0.000615542,0.000615542
48,84.3322,0.03475,0.8629,1,0.61591,0.000597858,0.000597858,0.000597858
49,85.9281,0.05811,0.87097,1,0.6875,0.000580174,0.000580174,0.000580174
50,87.5039,0.08032,0.87097,1,0.70734,0.00056249,0.00056249,0.00056249
51,89.1218,0.05174,0.87097,1,0.67163,0.000544806,0.000544806,0.000544806
52,90.7055,0.06565,0.84677,1,0.78845,0.000527122,0.000527122,0.000527122
53,92.3213,0.03134,0.85484,1,0.71472,0.000509438,0.000509438,0.000509438
54,93.8865,0.05427,0.87097,1,0.64325,0.000491755,0.000491755,0.000491755
55,95.4955,0.05954,0.8629,1,0.7113,0.000474071,0.000474071,0.000474071
56,96.9971,0.07876,0.87903,1,0.64587,0.000456387,0.000456387,0.000456387
57,98.554,0.03361,0.8629,1,0.64771,0.000438703,0.000438703,0.000438703
58,100.123,0.06313,0.8629,1,0.65063,0.000421019,0.000421019,0.000421019
59,101.772,0.03382,0.87903,1,0.62994,0.000403335,0.000403335,0.000403335
60,103.414,0.04552,0.87097,1,0.59589,0.000385651,0.000385651,0.000385651
61,104.997,0.03433,0.8629,1,0.63538,0.000367967,0.000367967,0.000367967
62,106.618,0.06841,0.8629,1,0.60846,0.000350284,0.000350284,0.000350284
63,108.269,0.05849,0.85484,1,0.61429,0.0003326,0.0003326,0.0003326
64,109.877,0.0539,0.85484,1,0.58771,0.000314916,0.000314916,0.000314916
65,111.437,0.03682,0.84677,1,0.60779,0.000297232,0.000297232,0.000297232
66,113.046,0.04968,0.84677,1,0.63092,0.000279548,0.000279548,0.000279548
67,114.703,0.03654,0.85484,1,0.66968,0.000261864,0.000261864,0.000261864
68,116.323,0.06644,0.85484,1,0.62842,0.00024418,0.00024418,0.00024418
69,117.967,0.02491,0.85484,1,0.62726,0.000226497,0.000226497,0.000226497
70,119.524,0.06459,0.85484,1,0.64954,0.000208813,0.000208813,0.000208813
71,166.3,0.02851,0.84677,1,0.6618,0.000191129,0.000191129,0.000191129
72,167.811,0.03999,0.84677,1,0.63318,0.000173445,0.000173445,0.000173445
73,169.34,0.02951,0.84677,1,0.6637,0.000155761,0.000155761,0.000155761
74,170.962,0.04464,0.8629,1,0.66174,0.000138077,0.000138077,0.000138077
75,172.644,0.03621,0.84677,1,0.65436,0.000120393,0.000120393,0.000120393
76,174.267,0.03467,0.84677,1,0.62317,0.000102709,0.000102709,0.000102709
77,175.783,0.04356,0.85484,1,0.60919,8.50255e-05,8.50255e-05,8.50255e-05
