epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.29259,1.07528,0.62903,1,0.9259,0.00038583,0.00038583,0.00038583
2,10.8415,0.80241,0.71774,1,0.74658,0.000770388,0.000770388,0.000770388
3,12.569,0.58774,0.75806,1,0.69373,0.0011391,0.0011391,0.0011391
4,14.1864,0.43483,0.80645,1,0.5072,0.00134412,0.00134412,0.00134412
5,15.7551,0.35138,0.83871,1,0.46622,0.00131582,0.00131582,0.00131582
6,17.327,0.38707,0.81452,1,0.65143,0.00128753,0.00128753,0.00128753
7,18.8731,0.32574,0.8629,1,0.49362,0.00125923,0.00125923,0.00125923
8,20.4931,0.26084,0.85484,1,0.49515,0.00123094,0.00123094,0.00123094
9,22.0248,0.25542,0.83065,1,0.59552,0.00120265,0.00120265,0.00120265
10,23.6021,0.18577,0.85484,1,0.47992,0.00117435,0.00117435,0.00117435
11,25.087,0.18378,0.87097,1,0.51675,0.00114606,0.00114606,0.00114606
12,26.654,0.20033,0.83871,1,0.5791,0.00111776,0.00111776,0.00111776
13,28.2111,0.14277,0.83065,1,0.60883,0.00108947,0.00108947,0.00108947
14,29.7122,0.16968,0.83065,1,0.66711,0.00106118,0.00106118,0.00106118
15,31.1901,0.14288,0.84677,1,0.70312,0.00103288,0.00103288,0.00103288
16,32.7064,0.16244,0.83871,1,0.72232,0.00100459,0.00100459,0.00100459
17,34.2345,0.164,0.82258,1,0.85657,0.000976293,0.000976293,0.000976293
18,35.8279,0.12547,0.8629,1,0.6557,0.000947999,0.000947999,0.000947999
19,37.3408,0.10796,0.83065,1,0.67224,0.000919704,0.000919704,0.000919704
20,38.8727,0.14346,0.82258,1,0.66925,0.00089141,0.00089141,0.00089141
21,40.3448,0.12881,0.83871,1,0.60889,0.000863116,0.000863116,0.000863116
22,41.972,0.10751,0.83065,1,0.57727,0.000834822,0.000834822,0.000834822
23,43.6346,0.12146,0.83871,1,0.56329,0.000806528,0.000806528,0.000806528
24,45.2048,0.10584,0.84677,1,0.62567,0.000778233,0.000778233,0.000778233
25,46.7595,0.09187,0.8629,1,0.54694,0.000749939,0.000749939,0.000749939
26,48.2874,0.10636,0.87903,1,0.50928,0.000721645,0.000721645,0.000721645
27,49.8503,0.09083,0.8629,1,0.5813,0.000693351,0.000693351,0.000693351
28,51.3617,0.06395,0.84677,1,0.66364,0.000665057,0.000665057,0.000665057
29,52.8753,0.06855,0.84677,1,0.72937,0.000636762,0.000636762,0.000636762
30,54.4305,0.0505,0.84677,1,0.66711,0.000608468,0.000608468,0.000608468
31,55.9331,0.07222,0.87903,1,0.61884,0.000580174,0.000580174,0.000580174
32,57.4445,0.06587,0.87903,1,0.59552,0.00055188,0.00055188,0.00055188
33,59.0007,0.05933,0.84677,1,0.78564,0.000523586,0.000523586,0.000523586
34,60.538,0.09107,0.8629,1,0.73407,0.000495291,0.000495291,0.000495291
35,62.0258,0.07813,0.83871,1,0.6709,0.000466997,0.000466997,0.000466997
36,63.5254,0.08173,0.84677,1,0.64014,0.000438703,0.000438703,0.000438703
37,65.0799,0.08601,0.83871,1,0.63849,0.000410409,0.000410409,0.000410409
38,66.5535,0.06209,0.8629,1,0.58978,0.000382115,0.000382115,0.000382115
39,68.0901,0.054,0.85484,1,0.60205,0.00035382,0.00035382,0.00035382
40,69.6186,0.05717,0.85484,1,0.62299,0.000325526,0.000325526,0.000325526
41,116.721,0.05386,0.87097,1,0.64648,0.000297232,0.000297232,0.000297232
42,118.292,0.07112,0.8629,1,0.68079,0.000268938,0.000268938,0.000268938
43,119.878,0.06589,0.84677,1,0.73395,0.000240644,0.000240644,0.000240644
44,121.573,0.05476,0.87097,1,0.67255,0.000212349,0.000212349,0.000212349
45,123.207,0.03446,0.8629,1,0.64575,0.000184055,0.000184055,0.000184055
46,124.801,0.04961,0.87097,1,0.57217,0.000155761,0.000155761,0.000155761
47,126.361,0.05927,0.84677,1,0.64026,0.000127467,0.000127467,0.000127467
48,127.933,0.04797,0.8629,1,0.60352,9.91726e-05,9.91726e-05,9.91726e-05
49,129.492,0.04753,0.8629,1,0.62854,7.08784e-05,7.08784e-05,7.08784e-05
50,131.064,0.0469,0.85484,1,0.61804,4.25842e-05,4.25842e-05,4.25842e-05
